Sl.No.,e-Published Date,Title and Ref.No./Tender Id,State Name
1.,28-Aug-2018 09:00 AM,Bleaching Powder stable Gr 1 as per IS 1065-1989 duly ISI Marked in HDPE bags with protective polythine liners inside in 25 Kg. packing 11518-68 dt. 27.08.2018 / 2018_HPIPH_23127_1,Himachal Pradesh
2.,27-Aug-2018 02:49 PM,SALE OF OLD HDPE BAGS2018-08-28 KMF/CFPG/STORE/OLDHDPEBAGS2/2018-19/968 / 502018-08-27Aug41,Karnataka
3.,27-Aug-2018 02:49 PM,SALE OF OLD HDPE BAGS2018-08-28 KMF/CFPG/STORE/OLDHDPEBAGS2/2018-19/968 / 302018-08-27Aug41,Karnataka
4.,27-Aug-2018 11:00 AM,Supply of HDPE Bags 287 Dated 07-08-2018 / 2018_UPCDF_243758_1,Uttar Pradesh
5.,14-Aug-2018 03:12 PM,Common Salt on ARC basis2018-08-16 KMF/BAMUL/PUR/2018-19/134(08) / 292018-08-14Aug107,Karnataka
