Sl.No.,e-Published Date,Bid Submission Closing Date,Tender Opening Date,Title and Ref.No./Tender Id,Organisation Name,Corrigendum
1.,16-Jul-2018 06:00 PM,23-Aug-2018 11:00 AM,24-Aug-2018 11:00 AM,Procurement of PP Bags J5/Procurement of PP bags/18-19 / 2018_DOP_361036_1,Department of Posts,
2.,16-Jul-2018 06:30 PM,17-Sep-2018 11:00 AM,18-Sep-2018 11:00 AM,e-NIT for procurement of PP Bags Size III J5/Procurement of PP-III bags/18-19 / 2018_DOP_361082_1,Department of Posts,
