Sl.No.,e-Published Date,Title and Ref.No./Tender Id,Organisation Name
1.,29-Aug-2018 11:00 AM,Defacing of old MRP and reprinting of new MRP on empty HDPE bagS at at Kakinada Visahakapatnam port NFL/ZO/DAP-Reprint/2018/001 / 2018_MCF_355326_1,Department of Fertilisers
2.,16-Aug-2018 05:30 PM,FLOUROSPAR FOR ESR WITH CHEM.COMP 18TE210144 / 2018_DoDP_351206_1,Department of Defence Production
3.,24-Jul-2018 03:10 PM,"SUPPLY AND STACKING OF CEMENT 43 GRADE OPC, IS269 2015 ISI MARKED PACKED IN 50 KG HDPE BAGS CONFORMING TO IS 11652/2000 AT 531 SSTC GREF AT RISHIKESH UNDER PROJECT SHIVALIK IN UTTARAKHAND STATE 80260/S S/Cement-I/2018-19/ 04 /E8 NIT 27 23Jul18 / 2018_BRO_363864_1",Border Roads Organisation
